都道府県コード又は市区町村コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85-89歳の男性,85-89歳の女性,90歳以上の男性,90歳以上の女性,世帯数,備考
032018,岩手県,盛岡市,2025-09-30,湯沢南一丁目,458,236,222,3,5,4,6,10,5,15,5,8,3,6,4,6,9,15,9,14,13,11,12,18,15,11,10,19,27,24,31,31,27,22,20,15,11,3,6,1,4,207,
032018,岩手県,盛岡市,2025-09-30,湯沢南二丁目,596,295,301,3,3,8,8,12,10,6,11,11,10,7,5,9,8,19,16,23,19,26,14,11,18,16,15,27,37,41,52,35,32,22,16,11,14,6,5,2,8,260,
032018,岩手県,盛岡市,2025-09-30,流通センター北一丁目,151,81,70,1,2,2,1,3,4,6,1,5,4,5,3,4,2,4,1,4,4,5,7,8,6,8,8,3,5,10,7,7,6,4,5,2,3,0,1,0,0,90,
032018,岩手県,盛岡市,2025-09-30,北飯岡一丁目,366,191,175,10,10,6,7,10,6,8,12,14,14,23,7,14,17,15,12,12,19,27,19,18,12,10,8,4,5,4,3,4,6,2,3,2,3,3,4,5,8,189,
032018,岩手県,盛岡市,2025-09-30,北飯岡二丁目,1098,534,564,32,34,30,46,48,43,20,27,16,22,41,47,46,38,52,44,47,59,58,50,39,43,38,29,26,22,8,8,9,14,11,16,5,8,2,7,6,7,477,
032018,岩手県,盛岡市,2025-09-30,北飯岡三丁目,827,406,421,17,21,24,25,36,40,27,24,19,25,25,24,22,32,46,33,41,38,43,39,35,37,18,19,17,13,8,16,16,10,6,8,2,5,3,10,1,2,343,
032018,岩手県,盛岡市,2025-09-30,北飯岡四丁目,387,184,203,6,12,9,10,20,21,18,12,10,5,7,14,20,18,13,13,15,25,23,26,15,15,8,5,7,8,3,6,2,3,6,3,0,4,1,2,1,1,154,
032018,岩手県,盛岡市,2025-09-30,津志田町一丁目,514,249,265,14,9,16,8,17,21,17,17,18,26,9,14,18,14,13,21,25,22,16,24,23,21,20,15,17,16,8,5,6,6,5,10,4,8,2,5,1,3,255,
032018,岩手県,盛岡市,2025-09-30,津志田町二丁目,569,290,279,14,12,19,12,12,17,17,11,16,10,10,11,10,13,17,16,22,24,27,22,21,22,21,21,27,18,18,16,17,15,10,13,4,11,7,9,1,6,265,
032018,岩手県,盛岡市,2025-09-30,津志田町三丁目,208,103,105,1,1,8,3,7,5,7,4,4,8,4,5,3,6,2,5,9,8,6,10,15,15,11,8,7,0,9,3,4,5,2,5,3,3,1,2,0,9,112,
032018,岩手県,盛岡市,2025-09-30,津志田西一丁目,949,445,504,20,17,23,18,19,25,28,17,17,26,27,25,21,32,35,34,32,34,32,31,32,35,29,28,30,37,21,34,28,32,27,27,8,16,12,20,4,16,507,
032018,岩手県,盛岡市,2025-09-30,津志田西二丁目,696,321,375,8,9,9,10,13,22,27,31,17,15,14,15,15,11,21,17,24,29,34,38,42,42,30,27,20,32,16,18,11,15,11,10,3,15,5,11,1,8,324,
032018,岩手県,盛岡市,2025-09-30,津志田中央一丁目,502,240,262,6,11,11,12,17,13,16,15,20,12,13,14,15,19,17,16,17,28,30,28,26,27,19,21,10,12,3,9,7,10,7,6,2,6,2,2,2,1,260,
032018,岩手県,盛岡市,2025-09-30,津志田中央二丁目,602,310,292,9,6,10,8,12,11,19,17,16,18,20,12,21,21,32,19,30,28,23,28,32,23,24,26,18,22,13,16,14,14,6,10,5,5,2,3,4,5,334,
032018,岩手県,盛岡市,2025-09-30,津志田中央三丁目,1367,659,708,16,10,26,24,39,37,42,48,47,36,35,36,26,29,41,29,26,38,73,68,55,60,59,75,45,45,29,38,36,44,30,40,19,27,7,13,8,11,713,
032018,岩手県,盛岡市,2025-09-30,津志田南一丁目,337,156,181,5,7,3,6,5,7,9,7,8,5,6,6,6,14,13,7,7,12,12,12,12,6,19,18,12,15,8,13,11,10,6,10,10,14,3,9,1,3,170,
032018,岩手県,盛岡市,2025-09-30,津志田南二丁目,769,352,417,10,11,13,19,25,18,20,22,18,20,19,16,12,17,23,29,21,31,30,25,29,37,26,35,27,20,13,18,15,25,23,30,17,25,7,15,4,4,379,
032018,岩手県,盛岡市,2025-09-30,津志田南三丁目,689,349,340,16,12,23,6,14,15,15,14,18,21,32,24,25,23,26,28,22,22,29,26,29,35,21,19,25,22,15,18,14,13,17,17,5,15,1,2,2,8,350,
032018,岩手県,盛岡市,2025-09-30,三ツ割字,626,305,321,5,8,9,4,10,11,12,14,9,11,10,8,20,15,13,8,8,18,17,20,25,25,31,32,28,27,37,34,25,26,26,27,13,13,6,8,1,12,289,
032018,岩手県,盛岡市,2025-09-30,山岸字,259,112,147,2,2,3,5,6,5,2,3,0,3,3,3,5,3,4,12,10,8,10,6,6,7,9,16,13,5,7,13,9,11,12,17,5,14,4,9,2,5,129,
032018,岩手県,盛岡市,2025-09-30,上田字（※1）,674,359,315,17,10,14,10,23,20,22,18,16,9,25,13,21,12,20,13,17,20,24,21,30,25,27,17,19,13,19,19,19,22,22,24,11,22,7,13,6,14,366,※1　糠森，小野松を除く。
032018,岩手県,盛岡市,2025-09-30,下米内字,200,105,95,1,2,3,2,5,4,4,2,5,2,3,2,2,1,0,3,6,7,5,4,9,5,8,10,11,6,9,6,12,15,14,9,4,5,2,5,2,5,95,
032018,岩手県,盛岡市,2025-09-30,上米内字,1009,504,505,7,5,7,15,15,11,11,13,11,9,12,10,13,9,18,18,31,25,42,22,26,27,37,30,41,23,58,54,62,63,68,64,19,49,17,27,9,31,530,
032018,岩手県,盛岡市,2025-09-30,新庄字,147,80,67,0,1,0,2,0,3,4,2,2,1,8,1,5,2,5,5,5,6,7,4,7,4,9,3,8,1,5,7,5,6,7,4,1,8,1,4,1,3,96,
032018,岩手県,盛岡市,2025-09-30,浅岸字,436,216,220,1,3,9,7,8,14,15,17,12,7,8,10,9,4,9,6,8,11,16,15,24,20,23,26,16,18,22,13,12,16,10,10,6,8,8,9,0,6,195,
032018,岩手県,盛岡市,2025-09-30,東中野字,1772,830,942,38,46,42,41,37,50,41,36,33,35,34,35,46,56,52,60,58,53,59,65,66,70,56,59,66,65,52,59,56,54,40,56,30,43,15,38,9,21,826,
